1776401392.9124806,Not Paying Attention,286
1776401392.998762,Not Paying Attention,288
1776401393.078572,Not Paying Attention,290
1776401393.2155142,Not Paying Attention,292
1776401393.2835553,Not Paying Attention,294
1776401393.4075139,Not Paying Attention,296
1776401393.5014558,Not Paying Attention,298
1776401393.619515,Not Paying Attention,300
1776401393.7114742,Not Paying Attention,302
1776401393.8074932,Not Paying Attention,304
1776401393.9044008,Not Paying Attention,306
1776401394.014487,Not Paying Attention,308
1776401394.125786,Not Paying Attention,310
1776401394.18861,Not Paying Attention,312
1776401394.274428,Not Paying Attention,314
1776401394.3851225,Not Paying Attention,316
1776401394.4804928,Not Paying Attention,318
1776401394.6222436,Not Paying Attention,320
